                    2	0	ACT0	0	3	 07ff
                    4	0	ACT1	0	3	 07ff
                   80	0	RD0	0	3	 3f0
                   82	0	RD1	0	3	 3f0
                  156	0	PRE	0	3	 
                  232	0	ACT0	2	3	 0689
                  234	0	ACT1	2	3	 0689
                  310	0	RD0	2	3	 144
                  312	0	RD1	2	3	 144
                  386	0	PRE	2	3	 
                  462	0	ACT0	4	3	 43ff
                  464	0	ACT1	4	3	 43ff
                  540	0	RD0	4	3	 3f8
                  542	0	RD1	4	3	 3f8
                  616	0	PRE	4	3	 
                  692	0	ACT0	6	3	 0494
                  694	0	ACT1	6	3	 0494
                  770	0	RD0	6	3	 14c
                  772	0	RD1	6	3	 14c
                  846	0	PRE	6	3	 
                  922	1	ACT0	0	3	 07ff
                  924	1	ACT1	0	3	 07ff
                 1000	1	RD0	0	3	 3f0
                 1002	1	RD1	0	3	 3f0
                 1076	1	PRE	0	3	 
